0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:51 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:51 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:52 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:47:35 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:47:35 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:47:35 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:47:35 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:49:22 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:49:22 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:49:22 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:49:22 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:08 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:08 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:08 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:08 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:48 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:48 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:48 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:20:50:48 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
